iter	Passed	Remaining
0	73	73585
1	74	37109
2	74	24919
3	75	18833
4	76	15175
5	76	12730
6	77	10987
7	78	9675
8	78	8651
9	79	7824
10	79	7154
11	80	6596
12	80	6126
13	81	5727
14	81	5380
15	82	5069
16	82	4799
17	83	4556
18	84	4340
19	84	4146
20	85	3969
21	85	3809
22	86	3661
23	86	3533
24	87	3410
25	88	3297
26	88	3196
27	89	3097
28	89	3006
29	90	2919
30	90	2838
31	91	2762
32	91	2693
33	92	2624
34	92	2562
35	93	2505
36	94	2450
37	94	2398
38	95	2348
39	95	2301
40	96	2255
41	97	2212
42	97	2170
43	98	2131
44	98	2092
45	99	2056
46	99	2023
47	100	1990
48	100	1959
49	101	1928
50	102	1899
51	102	1869
52	103	1841
53	103	1815
54	104	1789
55	104	1764
56	105	1741
57	105	1720
58	106	1700
59	107	1678
60	107	1657
61	108	1646
62	109	1626
63	109	1606
64	110	1587
65	110	1569
66	111	1551
67	111	1533
68	112	1517
69	113	1501
70	113	1485
71	114	1470
72	114	1455
73	115	1440
74	115	1426
75	116	1412
76	116	1398
77	117	1384
78	117	1371
79	118	1359
80	118	1346
81	119	1335
82	119	1320
83	120	1309
84	120	1297
85	121	1286
86	121	1275
87	122	1265
88	122	1255
89	123	1245
90	123	1235
91	124	1227
92	124	1217
93	125	1208
94	125	1199
95	126	1191
96	127	1182
97	127	1173
98	128	1165
99	128	1157
100	129	1149
101	129	1141
102	130	1134
103	130	1127
104	131	1120
105	131	1113
106	132	1106
107	133	1099
108	133	1092
109	134	1085
110	134	1079
111	135	1072
112	135	1065
113	136	1060
114	137	1054
115	137	1048
116	137	1041
117	138	1035
118	139	1030
119	139	1025
120	140	1020
121	140	1013
122	141	1007
123	141	1002
124	142	996
125	143	992
126	143	986
127	144	981
128	144	976
129	145	971
130	145	966
131	146	961
132	146	956
133	147	951
134	147	946
135	148	942
136	148	938
137	149	934
138	150	930
139	150	925
140	151	921
141	151	916
142	152	911
143	152	907
144	153	903
145	153	898
146	154	894
147	154	890
148	155	887
149	155	883
150	156	879
151	156	875
152	157	872
153	158	868
154	158	864
155	159	861
156	159	857
157	160	853
158	160	850
159	161	848
160	162	844
161	162	842
162	163	839
163	163	835
164	164	832
165	164	828
166	165	825
167	166	822
168	166	819
169	167	816
170	167	813
171	168	810
172	168	807
173	169	804
174	169	801
175	170	797
176	170	794
177	171	791
178	171	788
179	172	785
180	172	782
181	173	779
182	173	776
183	174	774
184	175	772
185	176	770
186	176	768
187	177	765
188	177	763
189	178	760
190	178	757
191	179	755
192	179	752
193	180	750
194	181	747
195	181	745
196	182	743
197	182	741
198	183	738
199	184	736
200	184	733
201	185	731
202	185	729
203	186	727
204	186	724
205	187	722
206	188	720
207	188	717
208	189	715
209	189	713
210	190	710
211	190	708
212	191	706
213	191	703
214	192	701
